equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
Union Bordeaux-Bègles,6,47 %,63 %,62 %,36 %,63 %,6,0,6,0,24,21,1,6,1,6,128,14,20,36,123,41 ,Aviron Bayonnais,2025-10-25 21:00:00
Aviron Bayonnais,2,53 %,37 %,38 %,64 %,37 %,6,1,5,0,12,10,2,6,0,10,84,11,24,37,127, 12,Union Bordeaux-Bègles,2025-10-25 21:00:00
Stade Toulousain,8,63 %,50 %,56 %,51 %,50 %,4,0,4,0,20,18,0,7,1,9,115,9,17,23,162,59 ,RC Toulon,2025-10-26 21:05:00
RC Toulon,3,37 %,50 %,44 %,49 %,50 %,7,2,4,1,11,9,1,4,1,11,113,3,31,18,108, 24,Stade Toulousain,2025-10-26 21:05:00
RC Toulon,8,53 %,52 %,54 %,48 %,51 %,7,0,6,1,15,13,2,5,0,12,129,12,13,30,147,54 ,LOU Rugby,2025-11-01 14:30:00
LOU Rugby,2,47 %,48 %,46 %,52 %,49 %,4,1,3,0,12,7,0,7,3,9,108,6,12,25,104, 21,RC Toulon,2025-11-01 14:30:00
Aviron Bayonnais,7,49 %,54 %,51 %,47 %,54 %,8,1,6,1,18,12,0,8,0,11,108,18,14,31,130,49 ,US Montauban,2025-11-01 16:35:00
US Montauban,1,51 %,46 %,49 %,53 %,46 %,6,3,3,0,15,13,6,4,0,11,91,7,28,24,123, 7,Aviron Bayonnais,2025-11-01 16:35:00
Castres Olympique,4,52 %,58 %,57 %,41 %,56 %,8,1,6,1,18,14,0,10,0,7,129,4,14,24,177,26 ,Union Bordeaux-Bègles,2025-11-01 16:35:00
Union Bordeaux-Bègles,4,48 %,42 %,43 %,59 %,44 %,11,1,8,2,10,8,1,11,2,6,134,0,14,35,121, 28,Castres Olympique,2025-11-01 16:35:00
