equipo,Points_Essais accordés,Domination_Possession de la balle,Domination_Occupation,Domination_Possession dans son camp,Domination_Possession dans le camp adverse,Domination_Possession 22m adverses,Actions_Mêlées obtenues,Actions_Mêlées perdues,Actions_Mêlées gagnées,Actions_Mêlées refaites,Actions_Touches obtenues,Actions_Touches gagnées sur son propre lancer,Actions_Touches gagnées sur lancer adverse,Fautes_En-avant commis,Fautes_Pénalités réussies,Fautes_Pénalités concédées,Plaquages et ballons joués_Plaquages réussis,Plaquages et ballons joués_Plaquages offensifs réussis,Plaquages et ballons joués_Plaquages manqués,Plaquages et ballons joués_Ballons joués au pied,Plaquages et ballons joués_Ballons passés,Resultado,Oponente,fecha
US Montauban,1,58 %,51 %,55 %,48 %,52 %,9,2,6,1,19,16,2,3,0,9,88,9,24,27,212,7 ,Stade Toulousain,2025-11-22 16:35:00
Stade Toulousain,7,42 %,49 %,45 %,52 %,48 %,2,0,2,0,17,12,2,7,0,9,118,7,30,29,107, 49,US Montauban,2025-11-22 16:35:00
USA Perpignan,0,39 %,45 %,55 %,54 %,47 %,5,1,4,0,13,10,1,10,0,11,161,2,15,24,63,0 ,Montpellier Hérault Rugby,2025-11-22 16:35:00
Montpellier Hérault Rugby,3,61 %,55 %,45 %,46 %,53 %,14,0,11,3,15,12,2,4,2,8,108,4,8,31,152, 28,USA Perpignan,2025-11-22 16:35:00
Stade Français Paris,6,45 %,46 %,54 %,55 %,47 %,4,2,2,0,16,11,2,11,3,11,109,5,15,24,86,51 ,RC Toulon,2025-11-23 21:05:00
RC Toulon,3,55 %,54 %,46 %,45 %,53 %,9,3,5,1,11,9,4,5,1,17,64,5,12,21,148, 24,Stade Français Paris,2025-11-23 21:05:00
Montpellier Hérault Rugby,4,55 %,51 %,54 %,49 %,50 %,7,1,5,1,7,6,3,7,0,5,114,8,23,31,171,28 ,Union Bordeaux-Bègles,2025-11-29 14:30:00
Union Bordeaux-Bègles,3,45 %,49 %,46 %,51 %,50 %,8,1,5,2,18,12,0,10,1,7,171,13,22,26,177, 24,Montpellier Hérault Rugby,2025-11-29 14:30:00
ASM Clermont,4,52 %,42 %,31 %,57 %,42 %,9,2,5,2,9,6,2,4,4,10,117,9,23,28,115,36 ,Stade Français Paris,2025-11-29 16:35:00
Stade Français Paris,4,48 %,58 %,69 %,43 %,58 %,5,0,5,0,15,11,2,4,2,7,135,5,20,26,104, 32,ASM Clermont,2025-11-29 16:35:00
Aviron Bayonnais,1,54 %,56 %,48 %,43 %,54 %,7,1,5,1,15,11,3,6,5,16,114,5,8,22,138,22 ,LOU Rugby,2025-11-29 16:35:00
LOU Rugby,2,46 %,44 %,52 %,57 %,46 %,7,0,5,2,17,11,1,9,2,11,130,8,20,19,102, 20,Aviron Bayonnais,2025-11-29 16:35:00
Castres Olympique,2,56 %,59 %,67 %,42 %,58 %,5,0,5,0,17,16,0,9,3,4,105,2,28,35,129,23 ,USA Perpignan,2025-11-29 16:35:00
USA Perpignan,1,44 %,41 %,33 %,58 %,42 %,12,2,8,2,7,7,1,6,0,10,142,8,17,35,114, 7,Castres Olympique,2025-11-29 16:35:00
RC Toulon,8,50 %,53 %,58 %,47 %,53 %,6,0,6,0,17,13,2,7,0,6,98,5,22,25,132,54 ,US Montauban,2025-11-29 16:35:00
US Montauban,4,50 %,47 %,42 %,53 %,47 %,8,2,6,0,11,7,1,5,0,16,108,7,34,23,119, 28,RC Toulon,2025-11-29 16:35:00
Stade Toulousain,7,55 %,53 %,61 %,47 %,51 %,9,0,8,1,19,14,2,4,1,11,103,6,8,30,140,48 ,Racing 92,2025-11-29 21:00:00
Racing 92,3,45 %,47 %,39 %,53 %,49 %,3,2,1,0,14,10,3,7,1,14,160,13,22,31,107, 24,Stade Toulousain,2025-11-29 21:00:00
Section Paloise,8,50 %,50 %,42 %,50 %,51 %,3,0,2,1,21,18,2,8,1,13,107,12,8,27,90,53 ,Stade Rochelais,2025-11-30 21:05:00
Stade Rochelais,5,50 %,50 %,58 %,50 %,49 %,9,1,6,2,16,13,1,3,0,14,112,5,17,26,81, 33,Section Paloise,2025-11-30 21:05:00
Stade Français Paris,2,46 %,53 %,42 %,47 %,53 %,9,0,8,1,17,15,6,7,2,13,153,10,16,30,122,20 ,Racing 92,2025-12-20 14:30:00
Racing 92,3,54 %,47 %,58 %,53 %,47 %,9,0,8,1,25,17,1,10,0,13,137,22,14,35,108, 20,Stade Français Paris,2025-12-20 14:30:00
Montpellier Hérault Rugby,3,53 %,61 %,54 %,39 %,61 %,6,0,5,1,4,3,2,11,4,10,103,12,21,33,146,33 ,Castres Olympique,2025-12-20 16:35:00
Castres Olympique,4,47 %,39 %,46 %,61 %,39 %,11,2,8,1,16,12,0,3,1,8,143,6,43,30,126, 31,Montpellier Hérault Rugby,2025-12-20 16:35:00
Stade Rochelais,7,61 %,66 %,58 %,34 %,64 %,3,0,2,1,24,18,2,6,2,5,66,5,9,36,144,49 ,Aviron Bayonnais,2025-12-20 16:35:00
Aviron Bayonnais,2,39 %,34 %,42 %,66 %,36 %,12,2,6,4,11,9,2,2,1,15,132,10,26,29,80, 17,Stade Rochelais,2025-12-20 16:35:00
US Montauban,2,42 %,43 %,15 %,57 %,43 %,6,1,3,2,8,6,1,5,1,15,105,5,29,26,88,17 ,Section Paloise,2025-12-20 16:35:00
Section Paloise,8,58 %,57 %,85 %,43 %,57 %,6,0,5,1,19,17,2,5,1,6,106,5,19,25,99, 53,US Montauban,2025-12-20 16:35:00
USA Perpignan,2,42 %,39 %,53 %,62 %,41 %,9,2,6,1,13,6,2,10,4,9,126,5,16,25,67,26 ,ASM Clermont,2025-12-20 16:35:00
ASM Clermont,2,58 %,61 %,47 %,38 %,59 %,10,2,7,1,9,7,1,7,2,13,75,5,22,22,125, 20,USA Perpignan,2025-12-20 16:35:00
LOU Rugby,3,35 %,48 %,42 %,48 %,51 %,6,0,5,1,12,10,0,8,0,9,235,17,38,23,105,19 ,Stade Toulousain,2025-12-20 21:00:00
Stade Toulousain,6,65 %,52 %,58 %,52 %,49 %,10,1,8,1,9,9,1,5,1,6,127,10,18,22,237, 41,LOU Rugby,2025-12-20 21:00:00
Union Bordeaux-Bègles,6,49 %,47 %,51 %,53 %,48 %,12,2,8,2,6,6,2,4,2,14,142,4,13,36,158,46 ,RC Toulon,2025-12-21 21:05:00
RC Toulon,1,51 %,53 %,49 %,47 %,52 %,5,0,4,1,21,16,0,8,0,7,109,12,22,27,109, 7,Union Bordeaux-Bègles,2025-12-21 21:05:00
Racing 92,9,50 %,49 %,59 %,51 %,49 %,6,1,5,0,8,6,2,6,0,9,102,8,23,33,122,61 ,US Montauban,2025-12-27 14:00:00
US Montauban,1,50 %,51 %,41 %,49 %,51 %,10,2,7,1,12,9,0,7,3,9,114,11,23,30,149, 16,Racing 92,2025-12-27 14:00:00
Castres Olympique,5,50 %,59 %,64 %,38 %,58 %,5,0,5,0,14,13,1,5,1,5,166,5,28,22,167,36 ,LOU Rugby,2025-12-27 16:00:00
LOU Rugby,3,50 %,41 %,36 %,62 %,42 %,5,1,2,2,13,11,0,5,1,8,174,10,21,23,157, 22,Castres Olympique,2025-12-27 16:00:00
Aviron Bayonnais,4,55 %,55 %,58 %,45 %,54 %,2,2,0,0,17,11,1,7,3,8,91,12,9,29,132,35 ,Stade Français Paris,2025-12-27 18:00:00
Stade Français Paris,4,45 %,45 %,42 %,55 %,46 %,11,2,7,2,14,10,1,3,2,12,149,8,28,28,70, 34,Aviron Bayonnais,2025-12-27 18:00:00
ASM Clermont,4,47 %,50 %,62 %,50 %,50 %,11,1,8,2,14,10,1,7,2,10,130,9,23,32,80,34 ,Union Bordeaux-Bègles,2025-12-27 21:00:00
Union Bordeaux-Bègles,3,53 %,50 %,38 %,50 %,50 %,8,0,6,2,13,7,2,8,0,11,105,2,18,24,162, 19,ASM Clermont,2025-12-27 21:00:00
Section Paloise,4,51 %,50 %,48 %,51 %,49 %,7,2,4,1,14,12,1,3,3,14,153,9,20,22,135,35 ,Montpellier Hérault Rugby,2025-12-28 16:00:00
Montpellier Hérault Rugby,5,49 %,50 %,52 %,49 %,51 %,0,0,0,0,14,9,0,5,0,13,134,12,23,15,98, 33,Section Paloise,2025-12-28 16:00:00
RC Toulon,5,68 %,70 %,88 %,30 %,71 %,12,0,11,1,14,12,1,7,0,7,57,4,14,25,232,31 ,USA Perpignan,2025-12-28 18:00:00
USA Perpignan,1,32 %,30 %,12 %,70 %,29 %,10,1,6,3,11,8,0,6,3,9,192,11,23,27,62, 16,RC Toulon,2025-12-28 18:00:00
Stade Toulousain,9,66 %,53 %,88 %,47 %,55 %,5,1,3,1,18,18,0,5,1,7,74,4,13,33,206,60 ,Stade Rochelais,2025-12-28 21:05:00
Stade Rochelais,2,34 %,47 %,12 %,53 %,45 %,5,0,5,0,14,13,0,8,0,11,127,9,38,23,85, 14,Stade Toulousain,2025-12-28 21:05:00
USA Perpignan,4,40 %,43 %,26 %,57 %,42 %,2,1,1,0,12,10,1,7,2,9,165,14,32,28,109,30 ,Stade Toulousain,2026-01-03 14:30:00
Stade Toulousain,3,60 %,57 %,74 %,43 %,58 %,6,3,2,1,18,13,2,3,2,8,101,6,6,20,162, 27,USA Perpignan,2026-01-03 14:30:00
LOU Rugby,3,61 %,67 %,77 %,32 %,65 %,3,1,2,0,21,15,1,7,1,8,90,14,9,23,168,22 ,Section Paloise,2026-01-03 16:35:00
Section Paloise,2,39 %,33 %,23 %,68 %,35 %,10,2,6,2,15,13,3,5,1,12,186,6,19,28,83, 17,LOU Rugby,2026-01-03 16:35:00
Montpellier Hérault Rugby,9,54 %,52 %,64 %,48 %,51 %,3,1,1,1,16,15,3,1,1,7,129,11,16,31,104,62 ,Aviron Bayonnais,2026-01-03 16:35:00
Aviron Bayonnais,3,46 %,48 %,36 %,52 %,49 %,5,1,4,0,14,10,0,3,1,12,101,12,17,19,145, 22,Montpellier Hérault Rugby,2026-01-03 16:35:00
Stade Français Paris,5,46 %,49 %,59 %,50 %,49 %,5,1,3,1,18,15,2,6,0,17,138,9,25,20,112,33 ,Castres Olympique,2026-01-03 16:35:00
Castres Olympique,2,54 %,51 %,41 %,50 %,51 %,11,1,7,3,11,7,1,8,1,15,120,3,17,20,149, 15,Stade Français Paris,2026-01-03 16:35:00
US Montauban,3,42 %,46 %,53 %,52 %,49 %,7,3,3,1,21,13,0,6,0,18,127,3,26,14,108,19 ,ASM Clermont,2026-01-03 16:35:00
ASM Clermont,6,58 %,54 %,47 %,48 %,51 %,9,1,6,2,19,17,6,6,0,16,116,8,10,22,131, 34,US Montauban,2026-01-03 16:35:00
Union Bordeaux-Bègles,9,56 %,54 %,56 %,46 %,52 %,5,0,4,1,10,8,1,6,1,5,147,6,23,28,193,62 ,Racing 92,2026-01-03 21:00:00
Racing 92,2,44 %,46 %,44 %,54 %,48 %,6,0,5,1,10,7,1,5,1,10,171,13,43,33,137, 20,Union Bordeaux-Bègles,2026-01-03 21:00:00
Stade Rochelais,10,62 %,58 %,74 %,43 %,55 %,8,0,6,2,25,20,2,2,0,7,101,9,13,32,180,66 ,RC Toulon,2026-01-04 21:05:00
RC Toulon,0,38 %,42 %,26 %,57 %,45 %,3,0,3,1,16,13,2,5,0,16,106,4,29,22,112, 0,Stade Rochelais,2026-01-04 21:05:00
Union Bordeaux-Bègles,4,59 %,44 %,43 %,58 %,44 %,7,2,4,1,17,9,2,8,0,7,90,9,15,28,175,28 ,Stade Français Paris,2026-01-24 14:30:00
Stade Français Paris,5,41 %,56 %,57 %,42 %,56 %,10,4,4,2,14,12,2,5,0,10,165,11,31,39,87, 33,Union Bordeaux-Bègles,2026-01-24 14:30:00
Aviron Bayonnais,1,49 %,51 %,66 %,48 %,52 %,7,2,5,0,18,14,0,9,1,7,121,13,19,39,148,10 ,Castres Olympique,2026-01-24 16:35:00
Castres Olympique,1,51 %,49 %,34 %,52 %,48 %,10,0,8,2,14,13,2,6,2,6,164,4,14,46,114, 13,Aviron Bayonnais,2026-01-24 16:35:00
Racing 92,4,58 %,57 %,59 %,44 %,55 %,5,0,4,1,16,15,0,4,3,8,125,12,32,28,150,35 ,LOU Rugby,2026-01-24 16:35:00
LOU Rugby,4,42 %,43 %,41 %,56 %,45 %,4,1,3,0,10,8,0,6,2,10,206,12,22,29,109, 34,Racing 92,2026-01-24 16:35:00
USA Perpignan,4,51 %,39 %,57 %,61 %,39 %,10,1,7,2,17,10,1,7,1,6,87,7,19,34,68,31 ,US Montauban,2026-01-24 16:35:00
US Montauban,1,49 %,61 %,43 %,39 %,61 %,11,3,7,1,11,10,3,8,1,7,98,5,26,33,100, 8,USA Perpignan,2026-01-24 16:35:00
Stade Toulousain,9,57 %,53 %,43 %,48 %,50 %,8,0,7,1,14,10,1,4,0,8,120,5,16,19,168,59 ,Section Paloise,2026-01-24 21:00:00
Section Paloise,3,43 %,47 %,57 %,52 %,50 %,6,1,4,1,14,13,1,7,1,11,152,3,26,20,95, 22,Stade Toulousain,2026-01-24 21:00:00
RC Toulon,3,55 %,55 %,59 %,45 %,55 %,4,0,4,0,11,11,1,8,3,11,99,7,15,32,119,30 ,Montpellier Hérault Rugby,2026-01-25 15:30:00
Montpellier Hérault Rugby,3,45 %,45 %,41 %,55 %,45 %,7,1,5,1,15,9,0,6,2,8,161,13,19,25,108, 27,RC Toulon,2026-01-25 15:30:00
ASM Clermont,4,42 %,44 %,39 %,56 %,46 %,4,0,3,1,12,10,0,7,2,14,181,11,26,32,98,32 ,Stade Rochelais,2026-01-25 21:05:00
Stade Rochelais,3,58 %,56 %,61 %,44 %,54 %,6,1,5,0,11,9,2,5,2,11,97,16,17,28,216, 27,ASM Clermont,2026-01-25 21:05:00
Montpellier Hérault Rugby,6,59 %,54 %,66 %,46 %,54 %,4,1,3,0,17,14,2,6,2,5,70,5,20,41,170,44 ,Stade Français Paris,2026-01-31 14:30:00
Stade Français Paris,1,41 %,46 %,34 %,54 %,46 %,7,2,5,0,18,14,2,5,0,10,133,8,20,31,105, 7,Montpellier Hérault Rugby,2026-01-31 14:30:00
Castres Olympique,3,45 %,53 %,46 %,47 %,53 %,10,4,4,2,13,10,3,6,3,11,155,7,25,41,101,28 ,ASM Clermont,2026-01-31 16:35:00
ASM Clermont,2,55 %,47 %,54 %,53 %,47 %,4,0,3,1,17,13,2,10,3,8,121,7,14,39,141, 23,Castres Olympique,2026-01-31 16:35:00
Racing 92,4,48 %,48 %,54 %,52 %,48 %,14,1,12,1,9,9,0,7,3,11,141,10,20,28,84,37 ,USA Perpignan,2026-01-31 16:35:00
USA Perpignan,4,52 %,52 %,46 %,48 %,52 %,3,0,3,0,17,12,0,8,1,11,122,6,19,17,132, 31,Racing 92,2026-01-31 16:35:00
Stade Rochelais,4,68 %,68 %,75 %,32 %,63 %,6,2,4,0,19,15,0,4,0,8,56,0,17,31,227,24 ,LOU Rugby,2026-01-31 16:35:00
LOU Rugby,5,32 %,32 %,25 %,68 %,37 %,2,1,1,0,15,15,4,7,3,13,227,20,26,39,70, 44,Stade Rochelais,2026-01-31 16:35:00
US Montauban,1,47 %,55 %,52 %,43 %,55 %,13,1,8,4,22,13,2,6,3,9,119,6,19,22,126,16 ,Union Bordeaux-Bègles,2026-01-31 16:35:00
Union Bordeaux-Bègles,4,53 %,45 %,48 %,57 %,45 %,7,0,6,1,12,7,5,8,1,13,88,4,5,22,124, 31,US Montauban,2026-01-31 16:35:00
Stade Toulousain,4,62 %,58 %,62 %,42 %,54 %,7,0,7,1,23,21,1,9,1,5,80,7,12,29,164,31 ,Aviron Bayonnais,2026-01-31 21:00:00
Aviron Bayonnais,1,38 %,42 %,38 %,58 %,46 %,6,0,4,2,11,10,0,7,1,15,140,8,33,33,92, 10,Stade Toulousain,2026-01-31 21:00:00
Section Paloise,4,64 %,50 %,52 %,49 %,51 %,8,0,7,1,19,18,2,8,2,6,74,0,8,37,131,32 ,RC Toulon,2026-02-01 21:05:00
RC Toulon,2,36 %,50 %,48 %,51 %,49 %,9,1,6,2,13,8,1,5,0,16,176,13,17,30,65, 12,Section Paloise,2026-02-01 21:05:00
Union Bordeaux-Bègles,8,50 %,48 %,49 %,52 %,47 %,6,1,3,2,14,13,1,5,1,5,138,4,20,25,154,57 ,Castres Olympique,2026-02-14 14:30:00
Castres Olympique,5,50 %,52 %,51 %,48 %,53 %,7,0,7,0,15,11,0,4,1,11,146,12,27,23,197, 32,Union Bordeaux-Bègles,2026-02-14 14:30:00
Aviron Bayonnais,5,55 %,48 %,44 %,53 %,48 %,5,2,2,1,8,8,1,6,1,12,100,2,14,26,152,36 ,Racing 92,2026-02-14 16:35:00
Racing 92,4,45 %,52 %,56 %,47 %,52 %,6,2,3,1,15,10,0,4,5,7,167,2,17,22,75, 41,Aviron Bayonnais,2026-02-14 16:35:00
LOU Rugby,11,54 %,54 %,68 %,45 %,54 %,4,0,4,0,18,12,1,11,0,2,131,3,16,33,147,73 ,US Montauban,2026-02-14 16:35:00
US Montauban,2,46 %,46 %,32 %,55 %,46 %,8,2,6,0,11,10,3,5,0,6,115,1,26,33,153, 12,LOU Rugby,2026-02-14 16:35:00
Stade Rochelais,4,49 %,46 %,44 %,54 %,45 %,4,1,2,1,11,9,0,3,3,13,105,1,21,22,124,33 ,Montpellier Hérault Rugby,2026-02-14 16:35:00
Montpellier Hérault Rugby,4,51 %,54 %,56 %,46 %,55 %,5,1,3,1,12,10,2,1,5,11,125,2,23,26,109, 43,Stade Rochelais,2026-02-14 16:35:00
RC Toulon,2,51 %,52 %,54 %,47 %,52 %,9,1,7,1,20,14,1,6,0,10,109,12,26,28,147,14 ,ASM Clermont,2026-02-14 21:00:00
ASM Clermont,5,49 %,48 %,46 %,53 %,48 %,5,1,4,0,14,11,3,3,1,11,128,7,22,32,127, 34,RC Toulon,2026-02-14 21:00:00
Stade Français Paris,0,41 %,48 %,30 %,51 %,48 %,10,2,6,2,17,13,3,5,3,12,164,14,24,35,90,9 ,Stade Toulousain,2026-02-15 21:05:00
Stade Toulousain,1,59 %,52 %,70 %,49 %,52 %,5,2,3,0,16,10,2,7,2,11,77,7,12,36,146, 13,Stade Français Paris,2026-02-15 21:05:00
Aviron Bayonnais,2,48 %,67 %,78 %,33 %,68 %,5,0,5,0,15,13,0,8,3,11,122,12,20,17,150,21 ,USA Perpignan,2024-09-07 14:30:00
USA Perpignan,1,52 %,33 %,22 %,67 %,32 %,9,1,7,1,14,12,2,5,4,9,148,8,24,25,161, 19,Aviron Bayonnais,2024-09-07 14:30:00
ASM Clermont,5,50 %,52 %,50 %,48 %,52 %,1,1,0,0,19,17,1,5,2,13,118,19,26,32,125,39 ,Section Paloise,2024-09-07 16:30:00
Section Paloise,1,50 %,48 %,50 %,52 %,48 %,8,2,6,0,21,19,0,0,0,16,128,12,18,28,139, 7,ASM Clermont,2024-09-07 16:30:00
Castres Olympique,3,50 %,43 %,35 %,56 %,43 %,7,0,5,2,13,10,1,5,4,12,132,7,36,28,106,31 ,Racing 92,2024-09-07 16:30:00
Racing 92,4,50 %,57 %,65 %,44 %,57 %,6,1,4,1,11,10,1,6,0,11,118,22,16,23,136, 28,Castres Olympique,2024-09-07 16:30:00
Montpellier Hérault Rugby,3,54 %,48 %,46 %,52 %,48 %,6,0,5,1,19,14,2,11,1,11,122,12,23,30,137,22 ,LOU Rugby,2024-09-07 16:30:00
LOU Rugby,2,46 %,52 %,54 %,48 %,52 %,5,0,5,0,17,10,3,5,4,10,148,9,19,36,134, 26,Montpellier Hérault Rugby,2024-09-07 16:30:00
Union Bordeaux-Bègles,6,48 %,61 %,75 %,38 %,60 %,2,0,2,0,18,13,0,6,2,8,164,2,30,27,195,46 ,Stade Français Paris,2024-09-07 21:05:00
Stade Français Paris,4,52 %,39 %,25 %,62 %,40 %,7,1,5,1,15,14,3,4,0,10,133,2,29,28,184, 26,Union Bordeaux-Bègles,2024-09-07 21:05:00
Stade Rochelais,3,57 %,74 %,72 %,24 %,70 %,6,1,4,1,23,14,0,2,0,11,73,8,17,16,157,19 ,RC Toulon,2024-09-08 17:00:00
RC Toulon,2,43 %,26 %,28 %,76 %,30 %,6,1,4,1,14,14,6,4,1,17,141,11,29,34,83, 15,Stade Rochelais,2024-09-08 17:00:00
RC Vannes,2,48 %,57 %,58 %,40 %,57 %,5,0,5,0,15,12,0,6,2,13,102,8,18,15,93,18 ,Stade Toulousain,2024-09-08 21:05:00
Stade Toulousain,5,52 %,43 %,42 %,60 %,43 %,8,1,7,0,16,15,3,5,4,12,117,6,13,28,127, 43,RC Vannes,2024-09-08 21:05:00
RC Toulon,3,62 %,56 %,65 %,44 %,55 %,2,0,2,0,21,16,0,1,3,9,82,9,4,21,197,30 ,Castres Olympique,2024-09-14 14:30:00
Castres Olympique,3,38 %,44 %,35 %,56 %,45 %,10,0,8,2,7,6,2,1,3,19,148,11,35,26,79, 28,RC Toulon,2024-09-14 14:30:00
Stade Français Paris,5,52 %,53 %,58 %,47 %,52 %,11,1,7,3,10,8,3,7,1,14,104,10,28,20,125,34 ,RC Vannes,2024-09-14 14:30:00
RC Vannes,5,48 %,47 %,42 %,53 %,48 %,14,0,11,3,19,14,2,4,0,6,134,7,39,22,129, 31,Stade Français Paris,2024-09-14 14:30:00
Racing 92,4,39 %,44 %,35 %,55 %,46 %,6,2,3,1,13,10,2,3,3,10,222,11,19,28,132,33 ,ASM Clermont,2024-09-14 16:30:00
ASM Clermont,2,61 %,56 %,65 %,45 %,54 %,4,0,4,0,18,14,1,5,2,10,95,6,22,23,165, 20,Racing 92,2024-09-14 16:30:00
Section Paloise,7,54 %,57 %,67 %,43 %,55 %,10,0,9,1,9,8,0,4,2,7,111,6,32,19,160,51 ,Aviron Bayonnais,2024-09-14 16:30:00
Aviron Bayonnais,4,46 %,43 %,33 %,57 %,45 %,4,0,4,0,10,8,0,15,1,11,112,8,39,16,129, 29,Section Paloise,2024-09-14 16:30:00
USA Perpignan,1,58 %,52 %,57 %,50 %,49 %,6,3,3,0,22,16,2,7,0,15,117,5,14,13,182,7 ,Montpellier Hérault Rugby,2024-09-14 16:30:00
Montpellier Hérault Rugby,2,42 %,48 %,43 %,50 %,51 %,9,2,6,1,12,8,3,7,3,17,191,15,24,28,104, 26,USA Perpignan,2024-09-14 16:30:00
LOU Rugby,3,45 %,47 %,43 %,54 %,49 %,9,0,8,1,3,3,0,3,3,15,169,15,13,24,123,28 ,Union Bordeaux-Bègles,2024-09-14 21:05:00
Union Bordeaux-Bègles,3,55 %,53 %,57 %,46 %,51 %,10,0,8,2,10,9,0,7,3,10,145,12,13,21,191, 26,LOU Rugby,2024-09-14 21:05:00
Stade Toulousain,4,60 %,65 %,68 %,34 %,61 %,6,1,5,0,16,15,1,6,3,10,65,3,22,26,176,35 ,Stade Rochelais,2024-09-15 21:05:00
Stade Rochelais,3,40 %,35 %,32 %,66 %,39 %,8,0,7,1,14,12,1,6,2,15,174,12,22,16,101, 27,Stade Toulousain,2024-09-15 21:05:00
Montpellier Hérault Rugby,1,56 %,50 %,35 %,51 %,50 %,9,1,6,2,19,14,1,3,2,11,96,6,18,20,166,11 ,Stade Toulousain,2024-09-21 14:30:00
Stade Toulousain,2,44 %,50 %,65 %,49 %,50 %,6,1,5,0,14,10,3,7,2,15,138,10,12,27,134, 20,Montpellier Hérault Rugby,2024-09-21 14:30:00
ASM Clermont,4,55 %,47 %,61 %,51 %,48 %,11,2,7,2,20,16,4,8,0,9,76,8,19,24,118,26 ,Aviron Bayonnais,2024-09-21 16:30:00
Aviron Bayonnais,1,45 %,53 %,39 %,49 %,52 %,11,0,9,2,15,8,1,8,1,13,108,5,20,29,128, 10,ASM Clermont,2024-09-21 16:30:00
Castres Olympique,3,63 %,63 %,82 %,37 %,60 %,14,1,10,3,18,18,1,5,2,11,95,1,12,22,140,27 ,USA Perpignan,2024-09-21 16:30:00
USA Perpignan,0,37 %,37 %,18 %,63 %,40 %,5,1,4,3,12,11,0,8,4,17,199,13,19,23,116, 12,Castres Olympique,2024-09-21 16:30:00
RC Vannes,3,59 %,57 %,44 %,44 %,54 %,5,0,5,0,15,12,1,6,3,9,125,5,27,32,174,30 ,LOU Rugby,2024-09-21 16:30:00
LOU Rugby,2,41 %,43 %,56 %,56 %,46 %,4,1,3,0,11,8,2,4,2,13,170,13,20,24,118, 20,RC Vannes,2024-09-21 16:30:00
Stade Rochelais,8,49 %,42 %,48 %,60 %,43 %,6,0,6,0,11,9,4,4,1,11,145,10,24,30,94,49 ,Section Paloise,2024-09-21 16:30:00
Section Paloise,3,51 %,58 %,52 %,40 %,57 %,5,1,3,1,21,17,2,5,2,14,72,1,27,23,137, 25,Stade Rochelais,2024-09-21 16:30:00
Union Bordeaux-Bègles,8,42 %,50 %,46 %,48 %,52 %,3,0,3,0,15,13,3,3,0,12,171,15,30,29,138,52 ,Racing 92,2024-09-21 21:05:00
Racing 92,5,58 %,50 %,54 %,52 %,48 %,4,0,4,0,19,15,1,4,1,10,78,8,18,17,196, 34,Union Bordeaux-Bègles,2024-09-21 21:05:00
Stade Français Paris,1,54 %,57 %,53 %,43 %,57 %,6,1,4,1,18,15,1,12,1,9,81,5,13,25,99,10 ,RC Toulon,2024-09-22 21:05:00
RC Toulon,1,46 %,43 %,47 %,57 %,43 %,11,0,10,1,10,7,2,5,3,12,168,10,15,48,48, 14,Stade Français Paris,2024-09-22 21:05:00
USA Perpignan,4,53 %,62 %,76 %,38 %,62 %,9,0,7,2,16,9,1,6,3,10,117,17,23,20,160,33 ,ASM Clermont,2024-09-28 14:30:00
ASM Clermont,0,47 %,38 %,24 %,62 %,38 %,8,1,5,2,12,9,4,5,1,16,126,8,24,12,125, 3,USA Perpignan,2024-09-28 14:30:00
Aviron Bayonnais,3,58 %,67 %,62 %,33 %,66 %,7,2,5,0,18,15,3,4,3,10,115,4,5,21,176,28 ,Montpellier Hérault Rugby,2024-09-28 16:30:00
Montpellier Hérault Rugby,3,42 %,33 %,38 %,67 %,34 %,6,2,4,0,13,9,1,4,2,15,115,3,27,21,102, 27,Aviron Bayonnais,2024-09-28 16:30:00
LOU Rugby,4,50 %,46 %,34 %,55 %,47 %,6,0,6,0,8,7,2,5,4,10,151,13,12,22,169,40 ,Castres Olympique,2024-09-28 16:30:00
Castres Olympique,4,50 %,54 %,66 %,45 %,53 %,8,0,8,0,9,6,0,5,4,11,145,8,36,20,133, 38,LOU Rugby,2024-09-28 16:30:00
Racing 92,1,46 %,44 %,39 %,56 %,46 %,6,0,6,0,11,9,0,2,3,17,119,2,16,27,113,16 ,Stade Rochelais,2024-09-28 16:30:00
Stade Rochelais,1,54 %,56 %,61 %,44 %,54 %,5,0,5,0,19,18,1,6,4,11,98,3,15,19,155, 17,Racing 92,2024-09-28 16:30:00
RC Toulon,8,54 %,43 %,41 %,59 %,44 %,8,0,5,3,17,13,2,4,0,13,134,2,19,22,134,54 ,RC Vannes,2024-09-28 16:30:00
RC Vannes,3,46 %,57 %,59 %,41 %,56 %,7,0,6,1,14,10,2,6,0,13,124,3,35,19,116, 19,RC Toulon,2024-09-28 16:30:00
Section Paloise,4,58 %,63 %,70 %,35 %,60 %,7,1,5,1,21,19,1,7,2,8,92,10,13,24,151,30 ,Stade Français Paris,2024-09-28 21:05:00
Stade Français Paris,1,42 %,37 %,30 %,65 %,40 %,8,2,5,1,13,10,1,1,3,13,147,12,25,26,115, 16,Section Paloise,2024-09-28 21:05:00
Stade Toulousain,2,64 %,51 %,63 %,51 %,48 %,8,1,6,1,19,17,2,5,0,9,80,10,30,21,233,12 ,Union Bordeaux-Bègles,2024-09-29 21:05:00
Union Bordeaux-Bègles,2,36 %,49 %,37 %,49 %,52 %,7,1,6,0,15,11,2,3,2,15,162,14,28,24,135, 16,Stade Toulousain,2024-09-29 21:05:00
