equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Union Bordeaux-Bègles,4,0.5,0.6,0.84,0.42,0.63,12,1,10,1,11,9,0,4,3,8,78,3,7,31,142,37 ,Stade Français Paris,2021-09-11 17:15:00,2021-2022,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,25.1,0.0,2.0,49.0,ST SULPICE DE POMMIERS
Stade Français Paris,1,0.5,0.4,0.16,0.58,0.37,6,0,6,0,14,12,1,8,1,7,97,2,24,24,111, 10,Union Bordeaux-Bègles,2021-09-11 17:15:00,2021-2022,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,25.1,0.0,2.0,49.0,ST SULPICE DE POMMIERS
Racing 92,1,0.5,0.45,0.45,0.55,0.45,9,3,6,0,9,9,2,2,3,13,153,7,30,21,84,23 ,Stade Rochelais,2021-09-11 21:05:00,2021-2022,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,12.4,0.0,0.0,89.0,LONGCHAMP (Proxy via Stade Français)
Stade Rochelais,1,0.5,0.55,0.55,0.45,0.55,12,3,7,2,15,13,0,7,1,11,81,4,14,19,177, 10,Racing 92,2021-09-11 21:05:00,2021-2022,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,12.4,0.0,0.0,89.0,LONGCHAMP (Proxy via Stade Français)
Stade Toulousain,6,0.5,0.52,0.56,0.47,0.5,8,0,7,1,17,17,2,3,1,10,68,0,8,26,149,41 ,RC Toulon,2021-09-12 21:05:00,2021-2022,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,19.6,0.0,1.8,85.0,MURET-LHERM
RC Toulon,1,0.5,0.48,0.44,0.53,0.5,8,0,8,0,13,7,0,4,1,10,99,5,23,25,99, 10,Stade Toulousain,2021-09-12 21:05:00,2021-2022,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,19.6,0.0,1.8,85.0,MURET-LHERM
LOU Rugby,7,0.5,0.47,0.33,0.53,0.47,5,0,5,0,16,13,0,5,0,15,101,5,17,27,167,47 ,USA Perpignan,2021-09-18 15:00:00,2021-2022,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,22.8,0.0,2.5,60.0,BRINDAS
USA Perpignan,0,0.5,0.53,0.67,0.47,0.53,7,1,5,1,18,17,1,2,1,11,108,0,38,20,113, 3,LOU Rugby,2021-09-18 15:00:00,2021-2022,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,22.8,0.0,2.5,60.0,BRINDAS
Racing 92,3,0.5,0.62,0.55,0.39,0.61,4,0,4,0,18,15,2,2,0,17,58,5,5,21,103, 19,Biarritz Olympique PB,2021-09-18 15:00:00,2021-2022,Biarritz Olympique PB,Visitante,Perdedor,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,13.7,0.4,2.3,98.0,GER
CA Brive,4,0.5,0.46,0.41,0.54,0.45,3,1,2,0,16,12,3,1,2,18,147,7,21,28,75,30 ,Section Paloise,2021-09-18 15:00:00,2021-2022,CA Brive,Local,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,16.9,3.0,2.0,94.0,BRIVE
Section Paloise,1,0.5,0.54,0.59,0.46,0.55,8,1,7,0,14,11,0,3,2,12,101,3,21,25,133, 13,CA Brive,2021-09-18 15:00:00,2021-2022,CA Brive,Visitante,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,16.9,3.0,2.0,94.0,BRIVE
Castres Olympique,2,0.5,0.51,0.32,0.49,0.5,6,0,5,1,17,8,0,4,3,11,108,2,14,27,84,23 ,Union Bordeaux-Bègles,2021-09-18 15:00:00,2021-2022,Castres Olympique,Local,Empate,Stade Pierre-Fabre,Castres,Tarn,16.4,0.6,3.8,95.0,MONTREDON-LABESSONNIE
Union Bordeaux-Bègles,2,0.5,0.49,0.68,0.51,0.5,5,4,1,0,7,7,9,3,2,16,77,1,21,35,79, 23,Castres Olympique,2021-09-18 15:00:00,2021-2022,Castres Olympique,Visitante,Empate,Stade Pierre-Fabre,Castres,Tarn,16.4,0.6,3.8,95.0,MONTREDON-LABESSONNIE
Biarritz Olympique PB,1,0.5,0.38,0.45,0.61,0.39,9,3,4,2,13,9,1,3,7,10,93,1,16,34,71,28 ,Racing 92,2021-09-18 15:00:00,2021-2022,Biarritz Olympique PB,Local,Ganador,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,13.7,0.4,2.3,98.0,GER
Stade Toulousain,2,0.5,0.4,0.44,0.6,0.39,11,0,10,1,12,9,1,2,1,12,130,2,15,26,109, 17,Montpellier Hérault Rugby,2021-09-18 17:00:00,2021-2022,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,19.6,0.4,3.8,84.0,PEZENAS-TOURBES
Montpellier Hérault Rugby,2,0.5,0.6,0.56,0.4,0.61,7,1,5,1,14,12,1,6,1,9,87,5,5,35,114,15 ,Stade Toulousain,2021-09-18 17:00:00,2021-2022,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,19.6,0.4,3.8,84.0,PEZENAS-TOURBES
Stade Rochelais,1,0.5,0.52,0.59,0.5,0.53,3,0,3,0,15,12,1,2,5,10,78,3,16,30,62, 22,ASM Clermont,2021-09-18 21:05:00,2021-2022,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,7.9,0.0,5.4,99.0,SUPERBESSE
ASM Clermont,2,0.5,0.48,0.41,0.5,0.47,7,1,5,1,13,12,0,2,3,13,87,3,13,27,69,23 ,Stade Rochelais,2021-09-18 21:05:00,2021-2022,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,7.9,0.0,5.4,99.0,SUPERBESSE
RC Toulon,5,0.5,0.57,0.73,0.43,0.57,11,2,7,2,23,19,1,5,1,6,117,6,21,16,143,38 ,Stade Français Paris,2021-09-19 21:05:00,2021-2022,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,16.7,0.0,8.8,66.0,LE CASTELLET-AERO
Stade Français Paris,1,0.5,0.43,0.27,0.57,0.43,8,3,4,1,11,8,2,5,0,18,90,3,19,20,173, 5,RC Toulon,2021-09-19 21:05:00,2021-2022,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,16.7,0.0,8.8,66.0,LE CASTELLET-AERO
Stade Rochelais,8,0.5,0.57,0.61,0.42,0.57,6,0,5,1,15,14,1,6,0,10,124,9,7,22,144,59 ,Biarritz Olympique PB,2021-09-25 15:00:00,2021-2022,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,23.9,0.0,3.2,67.0,NUAILLE SUR BOUTONNE
Biarritz Olympique PB,1,0.5,0.43,0.39,0.58,0.43,11,1,7,3,11,9,0,4,1,13,127,2,25,17,113, 17,Stade Rochelais,2021-09-25 15:00:00,2021-2022,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,23.9,0.0,3.2,67.0,NUAILLE SUR BOUTONNE
Castres Olympique,1,0.5,0.61,0.73,0.38,0.6,9,1,5,3,17,13,1,4,1,12,80,0,10,23,127, 10,Stade Français Paris,2021-09-25 15:00:00,2021-2022,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,23.3,0.0,1.1,66.0,LONGCHAMP
Union Bordeaux-Bègles,3,0.5,0.66,0.79,0.35,0.7,8,1,7,0,14,12,0,8,4,8,67,2,6,22,143,29 ,CA Brive,2021-09-25 15:00:00,2021-2022,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,26.4,0.0,4.2,54.0,ST SULPICE DE POMMIERS
Montpellier Hérault Rugby,4,0.5,0.48,0.46,0.52,0.48,8,1,6,1,10,6,1,2,0,10,132,3,12,17,120, 22,Section Paloise,2021-09-25 15:00:00,2021-2022,Section Paloise,Visitante,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,24.3,0.0,1.5,56.0,GER
CA Brive,1,0.5,0.34,0.21,0.65,0.3,11,1,8,2,12,8,1,2,1,16,108,4,23,19,57, 10,Union Bordeaux-Bègles,2021-09-25 15:00:00,2021-2022,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,26.4,0.0,4.2,54.0,ST SULPICE DE POMMIERS
Section Paloise,2,0.5,0.52,0.54,0.48,0.52,8,1,5,2,12,10,2,4,3,10,126,1,18,29,134,23 ,Montpellier Hérault Rugby,2021-09-25 15:00:00,2021-2022,Section Paloise,Local,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,24.3,0.0,1.5,56.0,GER
Stade Français Paris,2,0.5,0.39,0.27,0.62,0.4,9,2,7,0,6,5,3,2,5,10,115,4,15,35,91,34 ,Castres Olympique,2021-09-25 15:00:00,2021-2022,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,23.3,0.0,1.1,66.0,LONGCHAMP
LOU Rugby,2,0.5,0.58,0.55,0.42,0.57,10,0,9,1,14,12,0,5,2,11,97,0,11,25,111, 20,Racing 92,2021-09-25 17:00:00,2021-2022,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,21.2,0.0,0.0,77.0,LONGCHAMP (Proxy via Stade Français)
Racing 92,3,0.5,0.42,0.45,0.58,0.43,7,2,5,0,18,17,2,3,1,16,142,1,33,24,127,24 ,LOU Rugby,2021-09-25 17:00:00,2021-2022,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,21.2,0.0,0.0,77.0,LONGCHAMP (Proxy via Stade Français)
USA Perpignan,0,0.5,0.61,0.83,0.39,0.65,10,3,5,2,13,11,1,5,4,8,40,3,10,27,88,12 ,RC Toulon,2021-09-25 21:00:00,2021-2022,USA Perpignan,Local,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,18.6,0.0,1.7,75.0,SERRALONGUE
RC Toulon,0,0.5,0.39,0.17,0.61,0.35,10,3,7,0,9,6,0,5,3,10,98,0,14,27,60, 9,USA Perpignan,2021-09-25 21:00:00,2021-2022,USA Perpignan,Visitante,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,18.6,0.0,1.7,75.0,SERRALONGUE
Stade Toulousain,3,0.5,0.34,0.33,0.67,0.38,7,1,6,0,7,7,3,2,2,13,153,9,33,25,99,27 ,ASM Clermont,2021-09-26 21:05:00,2021-2022,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.5,0.0,1.2,91.0,MURET-LHERM
ASM Clermont,2,0.5,0.66,0.67,0.33,0.62,3,0,3,0,20,11,0,6,0,8,66,3,23,22,185, 15,Stade Toulousain,2021-09-26 21:05:00,2021-2022,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.5,0.0,1.2,91.0,MURET-LHERM
Union Bordeaux-Bègles,2,0.5,0.49,0.4,0.51,0.49,6,1,4,1,13,10,1,3,2,15,121,6,22,23,87, 20,LOU Rugby,2021-10-02 15:00:00,2021-2022,LOU Rugby,Visitante,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,21.9,0.0,6.7,45.0,BRINDAS
Section Paloise,3,0.5,0.49,0.43,0.51,0.5,7,0,6,1,11,10,1,4,4,8,96,4,22,21,80, 29,USA Perpignan,2021-10-02 15:00:00,2021-2022,USA Perpignan,Visitante,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,22.0,0.0,4.4,55.0,SERRALONGUE
USA Perpignan,1,0.5,0.51,0.57,0.49,0.5,7,3,4,0,14,11,0,5,3,15,80,1,12,21,106,14 ,Section Paloise,2021-10-02 15:00:00,2021-2022,USA Perpignan,Local,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,22.0,0.0,4.4,55.0,SERRALONGUE
Stade Rochelais,1,0.5,0.48,0.38,0.52,0.48,9,2,6,1,12,8,2,6,2,13,107,6,14,13,117, 11,Montpellier Hérault Rugby,2021-10-02 15:00:00,2021-2022,Montpellier Hérault Rugby,Visitante,Perdedor,Septeo Stadium,Montpellier,Hérault,22.4,0.0,4.0,68.0,PEZENAS-TOURBES
LOU Rugby,0,0.5,0.51,0.6,0.49,0.51,6,0,6,0,16,14,1,3,5,11,63,5,15,27,129,15 ,Union Bordeaux-Bègles,2021-10-02 15:00:00,2021-2022,LOU Rugby,Local,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,21.9,0.0,6.7,45.0,BRINDAS
Stade Français Paris,0,0.5,0.56,0.15,0.43,0.56,7,0,5,2,13,11,0,4,4,9,96,1,11,23,133, 12,CA Brive,2021-10-02 15:00:00,2021-2022,CA Brive,Visitante,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,23.6,0.0,2.5,58.0,BRIVE
Montpellier Hérault Rugby,0,0.5,0.52,0.62,0.48,0.52,12,0,12,0,10,6,1,4,7,12,119,4,16,27,90,21 ,Stade Rochelais,2021-10-02 15:00:00,2021-2022,Montpellier Hérault Rugby,Local,Ganador,Septeo Stadium,Montpellier,Hérault,22.4,0.0,4.0,68.0,PEZENAS-TOURBES
CA Brive,1,0.5,0.44,0.85,0.57,0.44,11,1,7,3,9,6,0,2,4,13,100,1,23,26,87,19 ,Stade Français Paris,2021-10-02 15:00:00,2021-2022,CA Brive,Local,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,23.6,0.0,2.5,58.0,BRIVE
Biarritz Olympique PB,1,0.5,0.57,0.71,0.43,0.58,7,1,5,1,20,18,3,6,1,8,58,0,23,21,145,11 ,Stade Toulousain,2021-10-02 17:00:00,2021-2022,Biarritz Olympique PB,Local,Perdedor,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,21.4,0.0,0.0,79.0,GER
Stade Toulousain,2,0.5,0.43,0.29,0.57,0.42,7,1,6,0,8,5,2,2,1,16,104,5,12,17,106, 17,Biarritz Olympique PB,2021-10-02 17:00:00,2021-2022,Biarritz Olympique PB,Visitante,Ganador,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,21.4,0.0,0.0,79.0,GER
Castres Olympique,2,0.5,0.5,0.54,0.51,0.49,12,2,8,2,12,9,2,4,2,17,90,5,8,8,118,27 ,RC Toulon,2021-10-02 21:05:00,2021-2022,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,18.0,0.0,6.8,80.0,MONTREDON-LABESSONNIE
RC Toulon,1,0.5,0.5,0.46,0.49,0.51,9,3,6,0,13,8,0,2,3,17,102,3,21,11,81, 16,Castres Olympique,2021-10-02 21:05:00,2021-2022,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,18.0,0.0,6.8,80.0,MONTREDON-LABESSONNIE
Racing 92,2,0.5,0.47,0.27,0.55,0.46,8,3,3,2,15,14,2,2,1,14,155,3,38,26,37, 17,ASM Clermont,2021-10-03 21:05:00,2021-2022,ASM Clermont,Visitante,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,5.4,0.0,1.2,92.0,SUPERBESSE
ASM Clermont,1,0.5,0.53,0.73,0.45,0.54,6,0,5,1,15,11,0,3,7,6,43,0,5,27,167,26 ,Racing 92,2021-10-03 21:05:00,2021-2022,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,5.4,0.0,1.2,92.0,SUPERBESSE
LOU Rugby,6,0.5,0.53,0.63,0.45,0.53,11,0,9,2,12,9,2,2,0,14,130,2,16,28,118, 40,Biarritz Olympique PB,2021-10-09 15:00:00,2021-2022,Biarritz Olympique PB,Visitante,Ganador,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,16.1,0.0,2.3,66.0,GER
Montpellier Hérault Rugby,2,0.5,0.57,0.54,0.42,0.56,9,1,6,2,17,14,2,1,3,9,114,0,17,30,136, 23,Union Bordeaux-Bègles,2021-10-09 15:00:00,2021-2022,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,19.7,0.0,1.8,55.0,ST SULPICE DE POMMIERS
Union Bordeaux-Bègles,4,0.5,0.43,0.46,0.58,0.44,5,0,5,0,13,9,1,3,1,14,169,8,23,21,110,27 ,Montpellier Hérault Rugby,2021-10-09 15:00:00,2021-2022,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,19.7,0.0,1.8,55.0,ST SULPICE DE POMMIERS
Biarritz Olympique PB,1,0.5,0.47,0.37,0.55,0.47,3,0,3,0,14,9,3,1,0,12,93,5,12,18,159,5 ,LOU Rugby,2021-10-09 15:00:00,2021-2022,Biarritz Olympique PB,Local,Perdedor,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,16.1,0.0,2.3,66.0,GER
Racing 92,2,0.5,0.59,0.54,0.42,0.61,5,0,5,0,22,18,4,5,1,7,74,0,7,24,154,17 ,USA Perpignan,2021-10-09 15:00:00,2021-2022,Racing 92,Local,Ganador,Paris La Défense Arena,Nanterre,Hauts-de-Seine,18.5,0.0,2.6,55.0,LONGCHAMP (Proxy via Stade Français)
Castres Olympique,1,0.5,0.54,0.46,0.46,0.55,4,1,2,1,12,11,0,4,1,13,100,5,20,24,102, 10,Stade Rochelais,2021-10-09 15:00:00,2021-2022,Stade Rochelais,Visitante,Perdedor,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,20.0,0.0,4.0,50.0,NUAILLE SUR BOUTONNE
USA Perpignan,2,0.5,0.41,0.46,0.58,0.39,10,0,10,0,18,11,4,1,0,17,95,2,17,27,89, 14,Racing 92,2021-10-09 15:00:00,2021-2022,Racing 92,Visitante,Perdedor,Paris La Défense Arena,Nanterre,Hauts-de-Seine,18.5,0.0,2.6,55.0,LONGCHAMP (Proxy via Stade Français)
Stade Rochelais,2,0.5,0.46,0.54,0.54,0.45,7,2,5,0,18,17,1,2,5,9,107,8,12,26,151,29 ,Castres Olympique,2021-10-09 15:00:00,2021-2022,Stade Rochelais,Local,Ganador,Stade Marcel-Deflandre,La Rochelle,Charente-Maritime,20.0,0.0,4.0,50.0,NUAILLE SUR BOUTONNE
Stade Toulousain,5,0.5,0.61,0.67,0.39,0.6,9,1,7,1,16,16,1,4,1,10,74,6,21,17,164,38 ,Section Paloise,2021-10-09 17:00:00,2021-2022,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.6,0.0,1.6,73.0,MURET-LHERM
Section Paloise,1,0.5,0.39,0.33,0.61,0.4,4,0,4,0,11,8,0,4,1,14,132,1,45,21,90, 10,Stade Toulousain,2021-10-09 17:00:00,2021-2022,Stade Toulousain,Visitante,Perdedor,Stade Ernest-Wallon,Toulouse,Haute-Garonne,15.6,0.0,1.6,73.0,MURET-LHERM
RC Toulon,1,0.5,0.59,0.72,0.41,0.61,12,1,9,2,18,12,0,3,2,6,48,0,8,30,129,13 ,CA Brive,2021-10-09 21:05:00,2021-2022,RC Toulon,Local,Ganador,Stade Mayol,Toulon,Var,13.2,0.0,0.0,86.0,LE CASTELLET-AERO
CA Brive,0,0.5,0.41,0.28,0.59,0.39,8,1,5,2,10,8,2,4,3,11,115,2,18,28,45, 9,RC Toulon,2021-10-09 21:05:00,2021-2022,RC Toulon,Visitante,Perdedor,Stade Mayol,Toulon,Var,13.2,0.0,0.0,86.0,LE CASTELLET-AERO
Stade Français Paris,2,0.5,0.49,0.51,0.51,0.49,6,3,2,1,14,14,1,3,4,9,127,8,19,35,122,22 ,ASM Clermont,2021-10-10 21:05:00,2021-2022,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,7.4,0.2,0.0,95.0,LONGCHAMP
ASM Clermont,1,0.5,0.51,0.49,0.49,0.51,7,3,3,1,11,7,0,2,3,10,123,3,24,23,113, 14,Stade Français Paris,2021-10-10 21:05:00,2021-2022,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,7.4,0.2,0.0,95.0,LONGCHAMP
Stade Rochelais,1,0.5,0.53,0.52,0.47,0.52,9,1,8,0,17,12,0,4,1,10,76,1,11,28,165, 8,CA Brive,2021-10-16 15:00:00,2021-2022,CA Brive,Visitante,Ganador,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,19.0,0.0,1.1,55.0,BRIVE
Section Paloise,3,0.5,0.4,0.42,0.61,0.42,11,1,6,4,11,9,0,0,4,13,88,2,23,13,103,33 ,Union Bordeaux-Bègles,2021-10-16 15:00:00,2021-2022,Section Paloise,Local,Perdedor,Stade du Hameau,Pau,Pyrénées-Atlantiques,18.6,0.0,1.1,56.0,GER
CA Brive,0,0.5,0.47,0.48,0.53,0.48,5,1,4,0,17,13,3,3,2,15,131,3,11,26,78,6 ,Stade Rochelais,2021-10-16 15:00:00,2021-2022,CA Brive,Local,Perdedor,Stade Amédée-Domenech,Brive-la-Gaillarde,Corrèze,19.0,0.0,1.1,55.0,BRIVE
Castres Olympique,6,0.5,0.69,0.6,0.29,0.65,5,2,3,0,15,14,0,4,0,14,83,2,18,22,145,38 ,Biarritz Olympique PB,2021-10-16 15:00:00,2021-2022,Castres Olympique,Local,Ganador,Stade Pierre-Fabre,Castres,Tarn,17.0,0.0,1.8,62.0,MONTREDON-LABESSONNIE
Biarritz Olympique PB,2,0.5,0.31,0.4,0.71,0.35,7,0,6,1,15,12,1,1,2,8,126,1,27,23,118, 20,Castres Olympique,2021-10-16 15:00:00,2021-2022,Castres Olympique,Visitante,Perdedor,Stade Pierre-Fabre,Castres,Tarn,17.0,0.0,1.8,62.0,MONTREDON-LABESSONNIE
USA Perpignan,1,0.5,0.56,0.64,0.45,0.56,6,1,3,2,19,12,0,3,4,14,94,8,17,24,112,22 ,Stade Français Paris,2021-10-16 15:00:00,2021-2022,USA Perpignan,Local,Perdedor,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,16.3,0.0,1.7,58.0,SERRALONGUE
Stade Français Paris,2,0.5,0.44,0.36,0.55,0.44,4,0,3,1,10,10,6,3,3,10,98,6,7,30,124, 23,USA Perpignan,2021-10-16 15:00:00,2021-2022,USA Perpignan,Visitante,Ganador,Stade Aimé-Giral,Perpignan,Pyrénées-Orientales,16.3,0.0,1.7,58.0,SERRALONGUE
Union Bordeaux-Bègles,4,0.5,0.6,0.58,0.39,0.58,3,1,0,2,14,14,1,4,3,12,73,0,19,13,103, 37,Section Paloise,2021-10-16 15:00:00,2021-2022,Section Paloise,Visitante,Ganador,Stade du Hameau,Pau,Pyrénées-Atlantiques,18.6,0.0,1.1,56.0,GER
ASM Clermont,1,0.5,0.5,0.62,0.55,0.49,2,0,2,0,10,8,2,6,5,13,102,1,11,27,160, 22,Montpellier Hérault Rugby,2021-10-16 17:00:00,2021-2022,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,16.7,0.0,1.7,50.0,PEZENAS-TOURBES
Montpellier Hérault Rugby,1,0.5,0.5,0.38,0.45,0.51,9,1,7,1,15,12,0,1,5,12,161,3,15,22,147,20 ,ASM Clermont,2021-10-16 17:00:00,2021-2022,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,16.7,0.0,1.7,50.0,PEZENAS-TOURBES
RC Toulon,2,0.5,0.52,0.62,0.48,0.53,10,2,6,2,10,9,4,3,2,9,113,2,15,19,159,20 ,Racing 92,2021-10-16 21:05:00,2021-2022,RC Toulon,Local,Perdedor,Stade Mayol,Toulon,Var,10.9,0.0,0.0,93.0,LE CASTELLET-AERO
Racing 92,2,0.5,0.48,0.38,0.52,0.47,6,0,5,1,12,8,0,5,5,11,132,3,27,24,131, 27,RC Toulon,2021-10-16 21:05:00,2021-2022,RC Toulon,Visitante,Ganador,Stade Mayol,Toulon,Var,10.9,0.0,0.0,93.0,LE CASTELLET-AERO
LOU Rugby,3,0.5,0.49,0.58,0.51,0.48,4,0,3,1,12,10,2,4,2,10,162,8,10,29,119,25 ,Stade Toulousain,2021-10-17 21:05:00,2021-2022,LOU Rugby,Local,Ganador,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,8.8,0.0,1.6,96.0,BRINDAS
Stade Toulousain,1,0.5,0.51,0.42,0.49,0.52,8,1,5,2,15,12,0,1,4,9,148,2,27,19,176, 19,LOU Rugby,2021-10-17 21:05:00,2021-2022,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,8.8,0.0,1.6,96.0,BRINDAS
Stade Français Paris,2,0.5,0.4,0.46,0.6,0.41,8,0,7,1,10,8,1,1,3,15,118,6,24,27,85,23 ,LOU Rugby,2021-10-23 15:00:00,2021-2022,Stade Français Paris,Local,Ganador,Stade Jean-Bouin,Paris,Paris,14.2,0.0,1.6,58.0,LONGCHAMP
USA Perpignan,1,0.5,0.43,0.4,0.56,0.46,9,0,7,2,11,7,2,4,2,17,111,3,33,21,90, 13,Union Bordeaux-Bègles,2021-10-23 15:00:00,2021-2022,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,16.4,0.0,2.4,41.0,ST SULPICE DE POMMIERS
LOU Rugby,2,0.5,0.6,0.54,0.4,0.59,3,1,1,1,15,12,0,3,2,12,86,2,17,23,119, 18,Stade Français Paris,2021-10-23 15:00:00,2021-2022,Stade Français Paris,Visitante,Perdedor,Stade Jean-Bouin,Paris,Paris,14.2,0.0,1.6,58.0,LONGCHAMP
Union Bordeaux-Bègles,4,0.5,0.57,0.6,0.44,0.54,7,1,5,1,20,16,3,3,2,11,93,4,10,17,161,39 ,USA Perpignan,2021-10-23 15:00:00,2021-2022,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,16.4,0.0,2.4,41.0,ST SULPICE DE POMMIERS
CA Brive,0,0.5,0.51,0.16,0.51,0.5,6,0,6,0,9,7,1,4,3,15,121,5,15,17,95, 9,Biarritz Olympique PB,2021-10-23 15:00:00,2021-2022,Biarritz Olympique PB,Visitante,Perdedor,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,16.1,0.0,1.7,58.0,GER
Biarritz Olympique PB,5,0.5,0.49,0.84,0.49,0.5,8,0,7,1,12,10,1,3,2,14,70,2,16,24,129,37 ,CA Brive,2021-10-23 15:00:00,2021-2022,Biarritz Olympique PB,Local,Ganador,Parc des sports d'Aguiléra,Biarritz,Pyrénées-Atlantiques,16.1,0.0,1.7,58.0,GER
ASM Clermont,5,0.5,0.52,0.45,0.48,0.52,6,0,5,1,16,14,2,4,3,8,121,5,15,17,160,42 ,Section Paloise,2021-10-23 15:00:00,2021-2022,ASM Clermont,Local,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,6.7,0.0,4.2,75.0,SUPERBESSE
