equipo,puntos_trys_concedidos,posesion_pelota,ocupacion_sobre_terreno_rival,posesion_sobre_terreno_propio,posesion_sobre_terreno_rival,posesion_sobre22m_rival,scrum_obtenidos,scrum_perdidos,scrum_ganados,scrum_reiniciados,lineouts_obtenidos,lineouts_ganados,lineouts_ganados_rival,knock_on,penales_anotados,penales_cometidos,tackles_exitoso,tackle_defensivo_exitoso,tackle_fallido,free_kick,balones_pasados,Resultado,Oponente,fecha,temporada,equipo_sede,condicion,resultado_partido,Maison,Ville,Departement,temperatura,lluvia_1h,viento_velocidad,humedad,estacion_calidad
Racing 92,1,0.44,0.47,0.34,0.53,0.48,6,3,3,0,12,10,2,12,0,17,127,6,13,18,96, 7,LOU Rugby,2025-09-06 17:00:00,2025-2026,LOU Rugby,Visitante,Perdedor,Stade de Gerland,Lyon,Auvergne-Rhône-Alpes,26.0,0.0,2.8,37.0,BRINDAS
Montpellier Hérault Rugby,2,0.62,0.63,0.76,0.37,0.6,11,2,4,5,18,16,2,4,1,12,62,5,8,25,165,17 ,RC Toulon,2025-09-06 19:00:00,2025-2026,Montpellier Hérault Rugby,Local,Perdedor,Septeo Stadium,Montpellier,Hérault,20.9,0.0,1.0,67.0,PEZENAS-TOURBES
RC Toulon,3,0.38,0.37,0.24,0.63,0.4,4,0,4,0,14,11,1,5,2,13,170,12,18,31,66, 27,Montpellier Hérault Rugby,2025-09-06 19:00:00,2025-2026,Montpellier Hérault Rugby,Visitante,Ganador,Septeo Stadium,Montpellier,Hérault,20.9,0.0,1.0,67.0,PEZENAS-TOURBES
Union Bordeaux-Bègles,2,0.42,0.4,0.42,0.61,0.41,4,1,3,0,22,15,3,10,3,6,129,3,31,39,104,23 ,Stade Rochelais,2025-09-06 21:05:00,2025-2026,Union Bordeaux-Bègles,Local,Ganador,Stade Chaban-Delmas,Bordeaux,Gironde,24.4,0.0,5.1,53.0,ST SULPICE DE POMMIERS
Stade Rochelais,2,0.58,0.6,0.58,0.39,0.59,10,2,6,2,13,7,3,4,2,13,78,7,13,30,184, 18,Union Bordeaux-Bègles,2025-09-06 21:05:00,2025-2026,Union Bordeaux-Bègles,Visitante,Perdedor,Stade Chaban-Delmas,Bordeaux,Gironde,24.4,0.0,5.1,53.0,ST SULPICE DE POMMIERS
ASM Clermont,2,0.47,0.44,0.39,0.56,0.45,5,1,4,0,14,12,1,3,4,11,143,8,32,29,132,24 ,Stade Toulousain,2025-09-07 21:05:00,2025-2026,ASM Clermont,Local,Perdedor,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,16.4,0.2,4.7,90.0,SUPERBESSE
Stade Toulousain,4,0.53,0.56,0.61,0.44,0.55,3,1,2,0,17,13,1,6,2,9,133,9,15,28,166, 34,ASM Clermont,2025-09-07 21:05:00,2025-2026,ASM Clermont,Visitante,Ganador,Stade Marcel-Michelin,Clermont-Ferrand,Puy-de-Dôme,16.4,0.2,4.7,90.0,SUPERBESSE
US Montauban,2,0.63,0.64,0.89,0.37,0.68,6,1,4,1,18,13,3,10,1,7,58,9,19,28,198,18 ,LOU Rugby,2025-09-13 14:30:00,2025-2026,US Montauban,Local,Perdedor,Stade Sapiac,Montauban,Tarn-et-Garonne,22.5,0.0,2.0,56.0,CASTELSARRASIN
LOU Rugby,3,0.37,0.36,0.11,0.63,0.32,12,5,6,1,11,7,1,6,2,11,187,31,17,31,82, 25,US Montauban,2025-09-13 14:30:00,2025-2026,US Montauban,Visitante,Ganador,Stade Sapiac,Montauban,Tarn-et-Garonne,22.5,0.0,2.0,56.0,CASTELSARRASIN
Stade Toulousain,4,0.69,0.67,0.74,0.33,0.65,11,1,9,1,19,17,0,5,1,11,60,1,5,11,208,31 ,USA Perpignan,2025-09-13 16:35:00,2025-2026,Stade Toulousain,Local,Ganador,Stade Ernest-Wallon,Toulouse,Haute-Garonne,21.0,0.0,1.3,71.0,MURET-LHERM
